name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Chloris chloris,European Greenfinch,European Greenfinch,groenling,Grünfink,verdier d'Europe,verderón europeo,verda fringo,обыкнове́нная зелену́шка
Emberiza citrinella,Yellowhammer,Yellowhammer,geelgors,Goldammer,bruant jaune,escribano cerillo,flava emberizo,обыкнове́нная овся́нка
Spinus spinus,Eurasian Siskin,Eurasian Siskin,sijs,Erlenzeisig,tarin des aulnes,lúgano,verda kardelo,чиж
Ichthyaetus melanocephalus,Mediterranean Gull,Mediterranean Gull,zwartkopmeeuw,Schwarzkopfmöwe,mouette mélanocéphale,gaviota cabecinegra,nigrakapa mevo,черноголо́вая ча́йка
Sylvia borin,Garden Warbler,Garden Warbler,tuinfluiter,Gartengrasmücke,fauvette des jardins,curruca mosquitera,ĝardensilvio,садо́вая сла́вка
Acrocephalus palustris,Marsh Warbler,Marsh Warbler,bosrietzanger,Sumpfrohrsänger,rousserolle verderolle,carricero políglota,grenokanbirdo,боло́тная камышо́вка
Anthus pratensis,Meadow Pipit,Meadow Pipit,graspieper,Wiesenpieper,pipit farlouse,"bisbita pratense, bisbita común",herbejpipio,лугово́й конёк
Alauda arvensis,Eurasian Skylark,Eurasian Skylark,veldleeuwerik,Feldlerche,alouette des champs,alondra común,kampalaŭdo,полево́й жа́воронок
Motacilla flava,Western Yellow Wagtail,Western Yellow Wagtail,gele kwikstaart,Schafstelze,bergeronnette printanière,lavandera boyera,flava motacilo,жёлтая трясогу́зка
Regulus regulus,Goldcrest,Goldcrest,goudhaan,Wintergoldhähnchen,roitelet huppé,reyezuelo sencillo,orverta regolo,желтоголо́вый королёк
Linaria cannabina,Eurasian Linnet,Eurasian Linnet,kneu,Bluthänfling,linotte mélodieuse,pardillo común,kanaba kardelo,конопля́нка
Apus apus,Common Swift,Common Swift,gierzwaluw,Mauersegler,martinet noir,vencejo común,ordinara apuso,чёрный стриж
Anthus trivialis,Tree Pipit,Tree Pipit,boompieper,Baumpieper,pipit des arbres,bisbita arbóreo,arbopipio,лесно́й конёк
Pyrrhula pyrrhula,Eurasian Bullfinch,Eurasian Bullfinch,goudvink,Gimpel,Bouvreuil pivoine,camachuelo común,pirolo,снеги́рь
Phoenicurus ochruros,Black Redstart,Black Redstart,,Hausrotschwanz,,,,горихво́стка-черну́шка
Turdus pilaris,Fieldfare,Fieldfare,,Wacholderdrossel,,,,ряби́нник
Milvus milvus,Red Kite,Red Kite,,Rotmilan,,,,кра́сный ко́ршун
Ciconia ciconia,White Stork,White Stork,,Weißstorch,,,,бе́лый а́ист
Mergus merganser,Common Merganser,Common Merganser,,Gänsesäger,,,,большо́й кроха́ль
Periparus ater,Coal Tit,Coal Tit,,Tannenmeise,,,,моско́вка
Motacilla cinerea,Gray Wagtail,Gray Wagtail,,Gebirgsstelze,,,,го́рная трясогу́зка
Bucephala clangula,Common Goldeneye,Common Goldeneye,,Schellente,,,,обыкнове́нный го́голь
Larus michahellis,Yellow-legged Gull,Yellow-legged Gull,,Mittelmeermöwe,,,,средиземноморская чайка
Milvus migrans,Black Kite,Black Kite,,Schwarzmilan,,,,чёрный ко́ршун
Grus grus,Common Crane,Common Crane,,Kranich,,,,се́рый жура́вль
Tadorna tadorna,Common Shelduck,Common Shelduck,,Brandgans,,,,
Serinus serinus,European Serin,European Serin,,Girlitz,,,,
Regulus ignicapilla,Common Firecrest,Common Firecrest,,Sommergoldhähnchen,,,,
Lanius collurio,Red-backed Shrike,Red-backed Shrike,,Neuntöter,,,,
Gallinago gallinago,Common Snipe,Common Snipe,,Bekassine,,,,
