name,image,image_female,image_male,image_silh,map
Anas platyrhynchos,,Anas_platyrhynchos_image_female_1.jpg|Anas_platyrhynchos_image_female_2.jpg|Anas_platyrhynchos_image_female_3.jpg|Anas_platyrhynchos_image_female_4.jpg|Anas_platyrhynchos_image_female_5.jpg,Anas_platyrhynchos_image_male_1.jpg|Anas_platyrhynchos_image_male_2.jpg|Anas_platyrhynchos_image_male_3.jpg|Anas_platyrhynchos_image_male_4.jpg|Anas_platyrhynchos_image_male_5.jpg,,
Anser albifrons,Anser_albifrons_image_1.jpg|Anser_albifrons_image_2.jpg|Anser_albifrons_image_3.jpg|Anser_albifrons_image_4.jpg|Anser_albifrons_image_5.jpg,,,,
Anser anser,Anser_anser_image_1.jpg|Anser_anser_image_2.jpg|Anser_anser_image_3.jpg|Anser_anser_image_4.jpg|Anser_anser_image_5.jpg,,,,
Anthus pratensis,Anthus_pratensis_image_1.jpg|Anthus_pratensis_image_2.jpg|Anthus_pratensis_image_3.jpg|Anthus_pratensis_image_4.jpg|Anthus_pratensis_image_5.jpg,,,,
Anthus trivialis,Anthus_trivialis_image_1.jpg|Anthus_trivialis_image_2.jpg|Anthus_trivialis_image_3.jpg|Anthus_trivialis_image_4.jpg|Anthus_trivialis_image_5.jpg,,,,
Apus apus,Apus_apus_image_1.jpg|Apus_apus_image_2.jpg|Apus_apus_image_3.jpg|Apus_apus_image_4.jpg|Apus_apus_image_5.jpg,,,,
Ardea alba,Ardea_alba_image_1.jpg|Ardea_alba_image_1.jpg|Ardea_alba_image_2.jpg|Ardea_alba_image_3.jpg|Ardea_alba_image_4.jpg,,,,
Ardea cinerea,Ardea_cinerea_image_1.jpg|Ardea_cinerea_image_2.jpg|Ardea_cinerea_image_3.jpg|Ardea_cinerea_image_4.jpg|Ardea_cinerea_image_5.jpg,,,,
Ardea purpurea,Ardea_purpurea_image_1.jpg|Ardea_purpurea_image_2.jpg|Ardea_purpurea_image_3.jpg|Ardea_purpurea_image_4.jpg|Ardea_purpurea_image_5.jpg,,,,
Asio flammeus,Asio_flammeus_image_1.jpg|Asio_flammeus_image_2.jpg|Asio_flammeus_image_3.jpg|Asio_flammeus_image_4.jpg|Asio_flammeus_image_5.jpg,,,,
Asio otus,Asio_otus_image_1.jpg|Asio_otus_image_2.jpg|Asio_otus_image_3.jpg|Asio_otus_image_4.jpg|Asio_otus_image_5.jpg,,,,
Athene noctua,Athene_noctua_image_1.jpg|Athene_noctua_image_2.jpg|Athene_noctua_image_3.jpg|Athene_noctua_image_4.jpg|Athene_noctua_image_5.jpg,,,,
Aythya ferina,,Aythya_ferina_image_female_1.jpg|Aythya_ferina_image_female_2.jpg|Aythya_ferina_image_female_3.jpg|Aythya_ferina_image_female_4.jpg|Aythya_ferina_image_female_5.jpg,Aythya_ferina_image_male_1.jpg|Aythya_ferina_image_male_2.jpg|Aythya_ferina_image_male_3.jpg|Aythya_ferina_image_male_4.jpg|Aythya_ferina_image_male_5.jpg,,
Aythya fuligula,,Aythya_fuligula_image_female_1.jpg|Aythya_fuligula_image_female_2.jpg|Aythya_fuligula_image_female_3.jpg|Aythya_fuligula_image_female_4.jpg|Aythya_fuligula_image_female_5.jpg,Aythya_fuligula_image_male_1.jpg|Aythya_fuligula_image_male_2.jpg|Aythya_fuligula_image_male_3.jpg|Aythya_fuligula_image_male_4.jpg|Aythya_fuligula_image_male_5.jpg,,
Branta canadensis,Branta_canadensis_image_1.jpg|Branta_canadensis_image_2.jpg|Branta_canadensis_image_3.jpg|Branta_canadensis_image_4.jpg|Branta_canadensis_image_5.jpg,,,,
Branta leucopsis,Branta_leucopsis_image_1.jpg|Branta_leucopsis_image_2.jpg|Branta_leucopsis_image_3.jpg|Branta_leucopsis_image_4.jpg|Branta_leucopsis_image_5.jpg,,,,
Bubo bubo,Bubo_bubo_image_1.jpg|Bubo_bubo_image_2.jpg|Bubo_bubo_image_3.jpg|Bubo_bubo_image_4.jpg|Bubo_bubo_image_5.jpg,,,,
Buteo buteo,Buteo_buteo_image_1.jpg|Buteo_buteo_image_2.jpg|Buteo_buteo_image_3.jpg|Buteo_buteo_image_4.jpg|Buteo_buteo_image_5.jpg,,,Buteo_buteo_image_silh_1.jpg|Buteo_buteo_image_silh_2.jpg|Buteo_buteo_image_silh_3.jpg,
Carduelis carduelis,Carduelis_carduelis_image_1.jpg|Carduelis_carduelis_image_2.jpg|Carduelis_carduelis_image_3.jpg|Carduelis_carduelis_image_4.jpg|Carduelis_carduelis_image_5.jpg,,,,
