name,lang,,,,
Certhia brachydactyla,eo,,,,
Certhia brachydactyla,ru,,,,
Gallinula chloropus,en,,,,
Gallinula chloropus,nl,,,,
Gallinula chloropus,de,,,,
Gallinula chloropus,fr,,,,
Gallinula chloropus,es,,,,
Gallinula chloropus,eo,,,,
Gallinula chloropus,ru,,,,
Ardea alba,en,,,,
Ardea alba,nl,,,,
Ardea alba,de,"Es ist vermutlich nur noch eine Frage der Zeit, bis er hier ein regelmäßiger Brutvogel wird.",,,
Ardea alba,fr,,,,
Ardea alba,es,,,,
Ardea alba,eo,,,,
Ardea alba,ru,,,,
Delichon urbicum,en,,,,
Delichon urbicum,nl,,,,
Delichon urbicum,de,Ein Lehmnest besteht aus bis zu 1500 gesammelten Lehmkügelchen.,,,
Delichon urbicum,fr,,,,
Delichon urbicum,es,,,,
Delichon urbicum,eo,,,,
Delichon urbicum,ru,,,,
Mareca strepera,en,,,,
Mareca strepera,nl,,,,
Mareca strepera,de,Der Artname „strepera“ aus dem Lateinischen bedeutet „lautstark“ und passt somit zur deutschen Artbezeichnung.,,,
Mareca strepera,fr,,,,
Mareca strepera,es,,,,
Mareca strepera,eo,,,,
Mareca strepera,ru,,,,
Prunella modularis,en,,,,
Prunella modularis,nl,,,,
Prunella modularis,de,"Treu sind Heckenbraunellen nicht gerade, deshalb können die Küken aus einem Nest auch von verschiedenen Männchen abstammen.",,,
Prunella modularis,fr,,,,
Prunella modularis,es,,,,
Prunella modularis,eo,,,,
Prunella modularis,ru,,,,
Aegithalos caudatus,en,,,,
Aegithalos caudatus,nl,,,,
Aegithalos caudatus,de,Die dünnen und langen Schwanzfedern machen 60 Prozent der Körperlänge aus.,,,
Aegithalos caudatus,fr,,,,
Aegithalos caudatus,es,,,,
Aegithalos caudatus,eo,,,,
Aegithalos caudatus,ru,,,,
Alauda arvensis,en,,,,
Alauda arvensis,nl,,,,
Alauda arvensis,de,Sie sind sehr ausdauernd und können bis zu 15 Minuten lang im Singflug ihre Strophen vortragen. Dabei steigen sie bis zu 100 Metern auf – eine gewaltige Atemleistung.,,,
Alauda arvensis,fr,,,,
Alauda arvensis,es,,,,
Alauda arvensis,eo,,,,
Alauda arvensis,ru,,,,
Branta canadensis,en,,,,
Branta canadensis,nl,,,,
Branta canadensis,de,"Wenn Kanadagänse selber keinen Bruterfolg hatten, entführen sie auch schon mal den Nachwuchs von Artgenossen.",,,
