name,filename,media_type,user,url,license
Anas platyrhynchos,Anas_platyrhynchos_image_male_4.jpg,image_male,© Bert Zeijlmaker,https://waarneming.nl/foto/view/13417520,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_male_5.jpg,image_male,© ruut aussems,https://waarneming.nl/foto/view/13152971,https://creativecommons.org/licenses/by/3.0/legalcode
Mareca strepera,Anas_strepera_call_1.mp3,call,©&nbsp;Ian Cruickshank,http://www.xeno-canto.org/158637,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_female_1.jpg,image_female,© Kees van Rij,http://waarneming.nl/foto/view/4532971,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_female_2.jpg,image_female,© Annelies Vriens,https://waarneming.nl/foto/view/5570020,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_female_3.jpg,image_female,© Erik op den Dries,https://waarneming.nl/foto/view/14143868,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_female_4.jpg,image_female,© Jaap Dijkhuizen,https://waarneming.nl/foto/view/10457908,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_female_5.jpg,image_female,© Edwin Kerssens,https://waarneming.nl/foto/view/12596825,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_male_1.jpg,image_male,© Marc Kolkman,http://waarneming.nl/foto/view/6337615,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_male_2.jpg,image_male,© Erik op den Dries,https://waarneming.nl/foto/view/13409986,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_male_3.jpg,image_male,© Mariet Verbeek,https://waarneming.nl/foto/view/10336247,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_male_4.jpg,image_male,© Erik op den Dries,https://waarneming.nl/foto/view/13347987,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca strepera,Anas_strepera_image_male_5.jpg,image_male,© Koos Bakker,https://waarneming.nl/foto/view/8129698,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser albifrons,Anser_albifrons_call_1.mp3,call,© Ashley Fisher,http://www.xeno-canto.org/131313,http://creativecommons.org/licenses/by-nc-sa/3.0/
Anser albifrons,Anser_albifrons_image_1.jpg,image,© Ingmar van der Brugge,http://waarneming.nl/foto/view/1797341,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser albifrons,Anser_albifrons_image_2.jpg,image,© Erik op den Dries,https://waarneming.nl/foto/view/12077743,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser albifrons,Anser_albifrons_image_3.jpg,image,© Oscar en Jolanda Balm,https://waarneming.nl/foto/view/10145295,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser albifrons,Anser_albifrons_image_4.jpg,image,© Jan Andries Post,https://waarneming.nl/foto/view/7164352,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser albifrons,Anser_albifrons_image_5.jpg,image,© Nel Bekema,https://waarneming.nl/foto/view/13085791,https://creativecommons.org/licenses/by/3.0/legalcode
Anser anser,Anser_anser_call_1.mp3,call,©&nbsp;Volker Arnold,http://www.xeno-canto.org/128218,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anser anser,Anser_anser_image_1.jpg,image,© Edwin Schuller,http://waarneming.nl/foto/view/4878761,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser anser,Anser_anser_image_2.jpg,image,© Jan Aalders,https://waarneming.nl/foto/view/12921078,https://creativecommons.org/licenses/by/3.0/legalcode
Anser anser,Anser_anser_image_3.jpg,image,© Rick Geling,https://waarneming.nl/foto/view/13225672,https://creativecommons.org/licenses/by/3.0/legalcode
Anser anser,Anser_anser_image_4.jpg,image,© Erik op den Dries,https://waarneming.nl/foto/view/12822395,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anser anser,Anser_anser_image_5.jpg,image,© Erik op den Dries,https://waarneming.nl/foto/view/10340660,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anthus pratensis,Anthus_pratensis_call_1.mp3,call,© Peter Boesman,https://www.xeno-canto.org/597234,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode
Anthus pratensis,Anthus_pratensis_image_1.jpg,image,© Johan van der Vegt,https://waarneming.nl/foto/view/27897281,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus pratensis,Anthus_pratensis_image_2.jpg,image,© Henri Hamer,https://waarneming.nl/foto/view/27864247,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus pratensis,Anthus_pratensis_image_3.jpg,image,© J.D. van de Klundert,https://waarneming.nl/foto/view/27643395,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus pratensis,Anthus_pratensis_image_4.jpg,image,© Hans Jansen,https://waarneming.nl/foto/view/27606059,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus pratensis,Anthus_pratensis_image_5.jpg,image,© Henri Hamer,https://waarneming.nl/foto/view/26386737,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus pratensis,Anthus_pratensis_song_1.mp3,song,© Jarek Matusiak,https://www.xeno-canto.org/151273,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anthus trivialis,Anthus_trivialis_call_1.mp3,call,© Stanislas Wroza,https://www.xeno-canto.org/471991,https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Anthus trivialis,Anthus_trivialis_image_1.jpg,image,© Astrid Mos,https://waarneming.nl/foto/view/21488937,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus trivialis,Anthus_trivialis_image_2.jpg,image,© Marianne Wustenhoff,https://waarneming.nl/foto/view/21434019,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus trivialis,Anthus_trivialis_image_3.jpg,image,© William Price,https://waarneming.nl/foto/view/20939918,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus trivialis,Anthus_trivialis_image_4.jpg,image,© Harry K,https://waarneming.nl/foto/view/17283565,https://creativecommons.org/licenses/by/3.0/legalcode
Anthus trivialis,Anthus_trivialis_image_5.jpg,image,© Hans Niekus,https://waarneming.nl/foto/view/17192867,https://creativecommons.org/licenses/by/3.0/legalcode
